slug,title,sub,status,model,desc,body1,body2,body3,body4,spec1_key,spec1_value,spec2_key,spec2_value,spec3_key,spec3_value,spec4_key,spec4_value,spec5_key,spec5_value,spec6_key,spec6_value,highlight1_key,highlight1_value,highlight2_key,highlight2_value,highlight3_key,highlight3_value,highlight4_key,highlight4_value,highlight5_key,highlight5_value,highlight6_key,highlight6_value
pyro-mk7,Pyro MK:7,A jet engine designed for additive manufacturing,completed,engine,,,,,,Status,"Design concept, CAD complete",Process,Designed to be manufactured purely with additive techniques,Focus,Uses gas expansion of incoming fuel to aid airflow through the engine,,,,,,,,,,,,,,,,,,
hephaestus-forge,G.A.S. [Core XY System],An automated additive manufacturing assembly line,completed,forge,,,,,,Status,Placeholder: write-up in progress,Accuracy,0.2 mm dimensional,Scope,Automation / material handling,Focus,Lights-out additive production,,,,,,,,,,,,,,,,
orbital-maneuver-solver,Orbital Maneuver Solver,A Python tool for exploring orbital-maneuver dynamics,completed,orbit,,,,,,Language,Python,Focus,Orbital dynamics / maneuver formulas,Goal,Demonstrate the usability of key orbital-mechanics formulas,,,,,,,,,,,,,,,,,,
integrated-toolhead,Integrated Toolhead,A 3D printer toolhead designed as one assembly instead of a stack of parts,in-progress,toolhead,,,,,,Stage,"Detail design, drawings and preliminary BOM complete",Problem,"Toolheads fail in predictable places: ground filament, thermal limits, cable fatigue",Approach,One integrated design instead of patching each failure mode,Next,Prototype build and validation,,,,,,,,,,,,,,,,
blended-body-aircraft,Blended Body Aircraft,Resolving the engine-placement compromise that has held back blended wing body designs,in-progress,bwb,,,,,,Stage,"Concept finalized, configuration locked, test plan drafted",Problem,A blended body has nowhere clean to hang an engine,Approach,Reshape the airframe so engines mount conventionally,Open threads,"Low-speed yaw control, systems integration",,,,,,,,,,,,,,,,
cm5-cluster,CM5 Cluster Compute Platform,A dense compute cluster for evolutionary computation and neural network work,in-progress,carrier,,,,,,Stage,"Carrier board design, second revision",Problem,No dense Compute Module 5 carrier exists on the market,Why,"Genetic algorithms are embarrassingly parallel, so many small nodes suit them",Next,Fabrication and single-board bring-up,,,,,,,,,,,,,,,,
high-speed-motor,High-Speed Motor,A motor built to stay stable at speeds that shake conventional designs apart,planned,ringmotor,,,,,,Stage,Concept / research,Problem,Center-supported rotors turn any eccentricity into vibration at speed,Goal,"One pipeline, motors tunable for generation, torque, or propulsion",Next,Electromagnetic sizing and bearing selection,,,,,,,,,,,,,,,,
electric-thruster,Multi-Stage Electric Thruster,Extracting more thrust from a given duct diameter than a single-stage fan can,planned,thruster,,,,,,Stage,Concept / research,Problem,One blade row can only do so much work before the flow separates,Approach,Spread the pressure rise across matched stages,Depends on,"The motor and bearing work, one link in a motor-to-airframe chain",,,,,,,,,,,,,,,,
precision-linear-stage,Precision Linear Stage,Precision that holds without a feedback loop correcting it,planned,linearstage,,,,,,Stage,Concept / research,Problem,Every conventional linear drive has backlash to correct for,Goal,Inherent precision with no encoders and no tuning,Open question,Whether achievable speed suits the target applications,,,,,,,,,,,,,,,,
omnidirectional-base,Omnidirectional Robot Base,An omnidirectional robot base that cannot slip,planned,studbase,,,,,,Stage,Concept / research,Problem,"Mobile bases trade away precision, load capacity, or direction",Goal,Repeatable positioning with no accumulated slip,For,"Additive manufacturing, CNC work, precision docking",,,,,,,,,,,,,,,,
high-temperature-bearing,High-Temperature Bearing,A bearing for temperatures and pressures that destroy conventional ones,planned,bearing,,,,,,Stage,Concept / research,Problem,Steel bearings are limited by their lubricant; ceramics are costly and brittle,Goal,High-temperature operation with no liquid lubricant at all,Role,The small-scale bearing option for the motor and thruster,,,,,,,,,,,,,,,,
large-diameter-air-bearing,Large-Diameter Air Bearing,Air-film support for a geometry conventional bearings do not fit,planned,airbearing,,,,,,Stage,Concept / research,Problem,"Air bearings are built for shafts and flat faces, not this geometry",Goal,Uniform support pressure across the whole bearing face,Role,A bearing option for the ring-drive motor,,,,,,,,,,,,,,,,
plant-exoskeleton,Modular Plant Exoskeleton,A self-watering enclosure that treats a potted plant as a design object,planned,planter,,,,,,Stage,Concept,Problem,"Plant products are functional and ugly, or decorative and useless",Goal,"Not a growing station, but an object with presence",Scope,"Modular, 3D printed, indoor or full weather",,,,,,,,,,,,,,,,
envisage,Envisage,A procedurally generated galaxy shared by three games that look unrelated,planned,galaxy,,,,,,Stage,"Design document, 17 module specs drafted",Concept,"An RPG, a sandbox, and a simulation, sold apart, secretly one universe",Generation,"Stars, life, languages, and histories built before anyone logs in",Philosophy,Geometry and physics over hand-authoring,,,,,,,,,,,,,,,,
